State,School district,LEAID,Total number of schools with grade 8 students,Number of schools offering grade 8 Algebra I,"    Percentage of schools offering grade 8 Algebra I"
AL,ALABAMA YOUTH SERVICES,0100002,1,0,0
AL,ALBERTVILLE CITY,0100005,1,1,100
AL,MARSHALL COUNTY,0100006,4,4,100
AL,HOOVER CITY,0100007,3,3,100
AL,MADISON CITY,0100008,2,2,100
AL,LEEDS CITY,0100011,1,1,100
AL,BOAZ CITY,0100012,1,1,100
AL,TRUSSVILLE CITY,0100013,1,1,100
AL,ALABAMA SCHOOL OF FINE ARTS,0100018,1,1,100
AL,ALEXANDER CITY,0100030,1,1,100
AL,ANDALUSIA CITY,0100060,2,0,0
AL,ANNISTON CITY,0100090,1,1,100
AL,ARAB CITY,0100100,1,1,100
AL,ATHENS CITY,0100120,1,1,100
AL,ATTALLA CITY,0100180,1,1,100
AL,SARALAND CITY,0100185,1,0,0
AL,AUBURN CITY,0100210,1,1,100
AL,AUTAUGA COUNTY,0100240,4,4,100
AL,BALDWIN COUNTY,0100270,10,10,100
AL,BARBOUR COUNTY,0100300,1,0,0
AL,BESSEMER CITY,0100330,1,1,100
AL,BIBB COUNTY,0100360,3,2,66.66666667
AL,BIRMINGHAM CITY,0100390,18,13,72.22222222
AL,BLOUNT COUNTY,0100420,7,0,0
AL,BREWTON CITY,0100450,1,0,0
AL,BULLOCK COUNTY,0100480,1,0,0
AL,BUTLER COUNTY,0100510,3,3,100
AL,CALHOUN COUNTY,0100540,7,7,100
AL,CHAMBERS COUNTY,0100600,3,2,66.66666667
AL,CHEROKEE COUNTY,0100630,5,2,40
AL,CHILTON COUNTY,0100660,6,2,33.33333333
AL,CHOCTAW COUNTY BOARD OF EDUCATION,0100690,2,0,0
AL,CLARKE COUNTY,0100720,2,1,50
AL,CLAY COUNTY,0100750,1,1,100
AL,CLEBURNE COUNTY,0100780,3,2,66.66666667
AL,COFFEE COUNTY,0100810,3,1,33.33333333
AL,COLBERT COUNTY,0100840,3,2,66.66666667
AL,CONECUH COUNTY,0100870,4,0,0
AL,COOSA COUNTY,0100900,1,1,100
AL,COVINGTON COUNTY,0100930,5,0,0
AL,CRENSHAW COUNTY,0100960,3,0,0
AL,CULLMAN CITY,0100990,1,1,100
AL,CULLMAN COUNTY,0101020,10,7,70
